OriginalId;NewId;Category
44396;ChargePumpSpeed;EB101
49996;ChargePumpState;EB101
44071;CompressorOperatingTime;EB101
44073;CompressorOperatingTimeHotWater;EB101
44702;CompressorProtectionMode;EB101
44069;CompressorStarts;EB101
44064;CompressorState;EB101
44701;CurrentCompressorFrequency;EB101
44362;CurrentOutdoorTemperature;EB101
44703;Defrosting;EB101
41011;EEV_ssh_act_Temperature;EB101
41017;EEV_ValvePosition;EB101
44363;EvaporatorTemperatureBT16;EB101
41167;EvaporatorTemperatureBT84;EB101
41019;EVI_ssh_act_Temperature;EB101
41025;EVI_ValvePosition;EB101
41002;FanSpeed;EB101
41163;HighPressureTemperature;EB101
44059;HotGas;EB101
41164;InjectionTemperature;EB101
44060;LiquidLineTemperature;EB101
44700;LowPressure;EB101
41162;LowPressureTemperature;EB101
40782;RequestedCompressorFrequency;EB101
44055;ReturnLineTemperatureEB101;EB101
44032;SlaveType;EB101
44061;SuctionGasTemperature;EB101
44058;SupplyLineTemperatureEB101;EB101
44014;Version;EB101
44308;HeatingCompressorOnlyEnergy;Energy
44306;HotWaterCompressorOnlyEnergy;Energy
43009;CalculatedSupplyTemperature;HeaterCircuit
40152;ExternalReturnLineTemperature;HeaterCircuit
40071;ExternalSupplyLineTemperature;HeaterCircuit
40048;ReturnLineTemperature;HeaterCircuit
40047;SupplyLineTemperature;HeaterCircuit
40072;VolumeFlow;HeaterCircuit
43115;CalculatedHotwaterTemperature;HotWater
43109;CurrentHotWaterType;HotWater
40014;HotWaterChargingTemperature;HotWater
50004;TemporaryLuxury;HotWater
40121;AdditionTemperature;System
43081;AdditionTimeFactor;System
40079;CurrentBE1;System
40081;CurrentBE2;System
40083;CurrentBE3;System
40940;DegreeMinutes;System
43161;ExternalAdjustment;System
40146;OilTemperatureBT29;System
40145;OilTemperatureEP15-BT29;System
40067;OutdoorTemperatureAverage;System
40004;OutdoorTemperatureCurrent;System
40033;RoomTemperature;System
